Title,Source,Type,Theme,Origin,Tone Set,Tonal Center,Scale,CSP,Meter,Rhythmic Content,Hardest Rhythmic,Hardest Melodic,Melodic Form,Rhythmic Form,Classroom Use,Grade Level,Game,Full Melody,Full Rhythm,Source Link,PDFs,MuseScore Embed,Lyrics,Melodic Context
Chase That Squirrel,"Piper, E. (1915). Play-Party Games of the Middle West. Champaign, IL. Journal of American Folklore.",Play Party,"Animals, Squirrels, Weather",USA,"s, drm s",do,"do tetratonic ext,",F,4/4,"ta,ti-ti,tika-ti,tim-ka",tim-ka,"so,",AB,AB,"Practice low so, Practice tim-ka, Practice tika-ti","3,4,5","Students form two lines facing each other, optionally separating into boys and girls.
The lead couple promenades down the center during stanza 1. Then the girl runs around the rank of girls, the boy around the rank of boys. The boy attempts to overtake the girl in her dash down the lane—a feat not always easy, since the boys have extended their rank to lengthen his course.
source: kodalycollection.org, Piper, E. (1915). Play-Party Games of the Middle West. Champaign, IL. Journal of American Folklore.","dmsmssmddrrdrrrs,dmsmssmdmrs,rs,dd",tt tmk tkt t tt tmk tkt t tt tmk tkt tmk tt tt t t,,"Chase That Squirrel-Traditional_Notation.pdf, Chase That Squirrel-Stick_Notation.pdf, Chase That Squirrel-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30622169/embed,"Up and down the center we go! Up and down the center we go! Up and down the center we go, This cold and frosty morning. Now's the time to chase that squirrel Catch her and kiss her if you can Run up and catch her if you can","dmsmsmdrdrs,dmsmsmdmrs,rs,d"
El Coyotito,"Knowles, F. (1990s). Vamos a Cantar: 230 Latino and Hispanic Folksongs to Sing, Read, and Play. Columbus, OH. Kodaly Institute at Capital University.",Circle Game,"Animals, Coyotes, Food",Mexico,"s, d m",do,"do tritonic ext,",C,2/4,"ta,ti-ti,tika-tika",tika-tika,"so,",AB,AB,Language: Spanish,"2,3,4,5","Students form a standing circle, holding hands. One student is selected to be “Coyote”.
After the dialogue with Coyote, the students in the circle raise one foot to the beat of the song, while Coyote tries to grab the foot of one of the players. A new Coyote is selected and the game begins again. 
source: Knowles, F. (1990s). Vamos a Cantar: 230 Latino and Hispanic Folksongs to Sing, Read, and Play. Columbus, OH. Kodaly Institute at Capital University.
","s,s,ds,dmds,s,dddds,s,dddd",tt tt tt t tk tt tktk tt tk,,"El Coyotito-Traditional_Notation.pdf, El Coyotito-Stick_Notation.pdf, El Coyotito-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30622994/embed,"Coyotito, ¿adónde vas? Comerás patada, comerás pa tada Coyotito: A la Hacienda de San Nicolás Estudiantes: ¿A qué vas? C: A comer pollito asado. E: ¿No me das? C: ¡No!Little coyote, where are you going? Spoken: Coyote: To the ranch of Saint Nicolas. Students: What for? C: To eat roast chicken. S: Aren't you going to give me some? C: No! You will eat chicks!
","s,ds,dmds,ds,d"
Daddy Shot a Bear,"Library of Congress AFS 948 A2. Collected by Lomax, J.",Folksong,"Animals, Bears, Death, Protection",USA,"s,l, dr",do,"do tetratonic ext,",F,2/4,"ta,tika-tika,ti-tika",ti-tika,"so,",ABAB,ABAB,"Practice tika-tika, Practice ti-tika","2,3,4",No,"dddddddddds,ddddddddl,l,s,s,l,ddds,s,drds,ddddddddl,l,s,",tktk t tktk t tktk ttk tktk t tktk t tktk t tktk ttk tktk t,,"Daddy Shot a Bear-Traditional_Notation.pdf, Daddy Shot a Bear-Stick_Notation.pdf, Daddy Shot a Bear-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30623273/embed,"Daddy shot a bear, Daddy shot a bear, Shot it through the keyhole and never touched a hair. Daddy shot a bear, Daddy shot a bear, Shot it through the keyhole and never touched a hair.","ds,dl,s,l,ds,drds,dl,s,"
"Dors, Dors, P'tit Bébé","Rinzler, K. (1978). Audio Recording: Old Mother Hippletoe: Rural and Urban Children's Songs. New York, N.Y. : New World Records",Lullaby,"Sleep, Nature, Rivers","USA, Louisiana",m ssiltd',la,"Harmonic Minor, la hexatonic ext,",G,2/2,"ta,ti-ti,rest,to-o",to-o,si,AA',AB,"Language: French, Practice to-o, Introduce si","3,4,5",No,d'tlsmlsiltd'tlsiltd'td'tlsmlsiltd'ttl,to to t t to tt tt t t tt tt t t to to t t to tt tt t t z t to,,"Dors Dors Ptit Bebe-Traditional_Notation.pdf, Dors Dors Ptit Bebe-Stick_Notation.pdf, Dors Dors Ptit Bebe-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30623759/embed,"Dors, dors, 'tit bébé, 'coutes la rivière, 'coutes la rivière, Dors, dors, 'tit bébé, 'coutes la rivière, couler. Sleep, sleep, little baby, listen to the river, listen to the river, Sleep, sleep, little baby, listen to the river running.",d'tlsmlsiltd'tlsiltd'td'tlsmlsiltd'tl
Fed My Horse In a Poplar Trough,"Sharp, C. (1932). English Folk Songs from the Southern Appalachians. London, UK. Oxford University Press.",Folksong,"Animals, Horses, Sickness, Death",USA,drm sl,do,do pentatonic,F#,2/2,"ta,ti-ti,to-o,tam-ti",tam-ti,re,AAB,AAB,Practice tam-ti,"2,3,4,5",No,mssmmlssmssmmrrdmssmmlssmssmrrdmmmdmmrdmmmdmrd,t t t tt t t to t t t tt t t to t t t tt t t to t t t t t t to tmt t t t t t t tmt t t t t to,,"Fed My Horse In a Poplar Trough-Traditional_Notation.pdf, Fed My Horse In a Poplar Trough-Stick_Notation.pdf, Fed My Horse In a Poplar Trough-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30624275/embed,"Fed my horse in a poplar trough; Fed my horse in a poplar trough; Fed my horse in a poplar trough; There he caught the whooping cough. Coy malindo, killko, killko, Coy malindo killdo me.  Fed my horse in a silver spoon Then he kicked it over the moon. My old horse is dead and gone Left his jaw-bone plowing corn.",msmlsmsmrdmsmlsmsmrdmdmrdmdmrd
Guru Ndiani,"Campbell, P. & Scott-Kassner, C. (2013) Music in Childhood: From Preschool Through the Elementary Grades. Boston, MA. Cengage Learning.","Call and Response, Circle Game","Animals, Roosters, Chickens",Zimbabwe,d m s,do,do tritonic,A,2/4,"ta,ti-ti,rest,syn-co-pa",syn-co-pa,do,AB,AB,"Part singing, Introduce duet","2,3,4,5","Students form a standing circle, two students (“roosters”) are in the middle of the circle with folded arms standing / hopping on one foot.
Students sing as the two “roosters” try to bump each other off balance. The “rooster” who stays balanced the longest is the winner and another “rooster” is chosen to challenge.
source: bethsnotesplus.com",sssmsdmdmm,scp t t t t t t t tt,,"Guru Ndiani-Traditional_Notation.pdf, Guru Ndiani-Stick_Notation.pdf, Guru Ndiani-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30624659/embed,"Guru Ndiani jongwe Ha jongwe ""Guru!""",smsdmdm
"Hickety, Tickety, Bumblebee","Locke, E. (1978). American Folk Songs for Teaching. Oakland, CA. Holy Names College.","Call and Response, Name Game, Solo Singing","Insects, Bees, Bumblebees, Names",USA,rm s,mi,mi tritonic,G,6/8,"ta,ti-ti-ti,ta-ti,tum",tum ,re,AB,AB,Introduce 6/8,"K,1,2",Students solo sing their name to the tune of s m at the end of the song,sssssssmrsssssmrsmmsm,ttt ttt t ti tum t ti t ti t ti tum tum t ti tum tum,,"Hickety Tickety Bumblebee-Traditional_Notation.pdf, Hickety Tickety Bumblebee-Stick_Notation.pdf, Hickety Tickety Bumblebee-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30624974/embed,"Hickety tickety bumblebee, Can you sing your name to me? My name is (Mason)",smrsmrsmsm
Ickle Ockle,"Opie, P. & Opie, I. (1969). Children's Games in Street and Playground","Circle Game, Partners, Student Prompt","Partners, Silly, Nonsense",England,d m sl,do,do tetratonic,A,2/4,"ta,ti-ti,rest",rest,do,AB,AB,"Introduce do, Practice rest","K,1,2,3","Possible game: Students pair with a partner in a standing circle.
M. 1 - Partners join hands, sway left and right to the beat
M. 3 - Students individually rotate around one time
M. 3 - Same as M. 1
M. 5 Students join hands and twist with arms around their heads, “wringing the dishrag”
End - Students scatter to find a new parter
With an odd number of students, the final student with no partner can walk around the circle during the song to wait for a new partner, and a new student will become the odd one out to walk around the circle next time.
",ssmmsmmssmlsssmmssmsmd,tt tt t tt tt tt t z tt tt tt t t t t z,,"Ickle Ockle-Traditional_Notation.pdf, Ickle Ockle-Stick_Notation.pdf, Ickle Ockle-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30653390/embed,"Ickle ockle, blue bottle, Fishes in the sea, If you want a pretty maid, please choose me.  If you want a partner",smsmsmlsmsmsmd
Johnny Get Your Haircut,"Seegar, R. (1948). American Folk Songs for Children. New York, NY. Doubleday & Company, Inc.",Folksong,"Johnny, Hair, Hygiene",USA,"m, s,l,t,drm",do,"do hexachordal ext,",G,2/4,"ta,ti-ti,tika-tika",tika-tika,"mi,",AB,AB,"Introduce low mi, Introduce tika-tika","1,2,3",No,"dmrdl,s,l,s,m,s,dmrdl,s,l,t,d",tktk tt tt tt tktk tt tt t ,,"Johnny Get Your Haircut-Traditional_Notation.pdf, Johnny Get Your Haircut-Stick_Notation.pdf, Johnny Get Your Haircut-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30653570/embed,"Johnny get your hair cut, hair cut, hair cut, Johnny get your hair cut, just like me.","dmrdl,s,l,s,m,s,dmrdl,s,l,t,d"
Kanteleelle,"Library of Congress AFS 4275 B2. Collected by Cowell, S.",Folksong,"Instruments, Love",Finland,m siltd'r'm'f',la,Harmonic Minor,C,2/2,"ta,ti-ti,tam-ti,to-o,to-o-o,triplet,anacrusis","to-o-o, triplet",si fa',AB,AB,Practice si,"4,5",No,mllsiltmtd'td'r'm'd'td'r'm'm'f'm'm'f'm'd'ld'tlm'sil,t t t t t to t t tt tt t t too tt t tt t tt tmt to trip tmt too,,"Kanteleelle-Traditional_Notation.pdf, Kanteleelle-Stick_Notation.pdf, Kanteleelle-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30653777/embed,"Nyt kaiu kanteleeni, ja mielein rauhoita, Sulosäveleilläs kauas kaihoni karkoita.",mlsiltmtd'td'r'm'd'td'r'm'f'm'f'm'd'ld'tlm'sil
Nakhshoon Gakavig,"Library of Congress AFS 4266 A2. Collected by Cowell, S.",Folksong,"Animals, Birds, Nature, Partridge",Armenia,"l,t,drmfis",la,Dorian,D,2/4,"ta,ti-ti,tika-ti,ti-tika","ti-tika, tika-ti",fi,AAB,AAB,"Practice tika-ti, Practice ti-tika, Introduce fi","4,5",No,"l,mrmdt,drmsmrdt,drl,l,dt,dl,t,drmsrfidt,drl,l,t,dt,drmmrt,drl,t,dt,drmmrdt,l,",tt tt tt tt tt tt ttk tt tt tt tt tt tt tt ttk tt tkt tkt ttk tkt tkt tkt ttk tkt,,"Nakhshoon Gakavig-Traditional_Notation.pdf, Nakhshoon Gakavig-Stick_Notation.pdf, Nakhshoon Gakavig-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30654182/embed,"Arev patsvets tukh amberen, gakav terav gananch saren. Ga nanch saren sari dzeren parev perav. dzaghikneren. Sirunig, sirunig nakhshoon(a) gakavig, Sirunig, sirunig nakhshoon(a) gakavig. Colorful partridge","l,mrmdt,drmsmrdt,drl,dt,dl,t,drmsrfidt,drl,t,dt,drmrt,drl,t,dt,drmrdt,l,"
Navajo Happy Song,"Collected by McCullough-Brabson, E. SW United States",Traditional Song,Nonsense,"Navajo, Native American","l, drm sl d'",do,do pentatonic ext;,Bb,2/4,"ta,ti-ti,to-o,tie",tie,do',ABCD,ABCD,"Practice tie, Practice high do","3,4,5","Students form a seated circle. 
Key: O = pat own lap. F = pat floor. L = Move hands one knee to the left, RH on own left knee, LH on neighbors right knee. R = Move hands one knee to the right.
Level 1: O O F F
Level 2: O O L L
Level 3: O O R R
Level 4: O O L L O O F F O O R R O O F F
Level 5: O L O F O R O F
source: C. Roberts, Kodaly Level 1 materials
","ssmsssssllsd'd'mmrdmrdl,dddddmrdl,dddddmrddddd",t t tt tt t t t t tt tt tt t tt t tt tt t t tt t tt tt t t tt t t t t t to t z,,"Navajo Happy Song-Traditional_Notation.pdf, Navajo Happy Song-Stick_Notation.pdf, Navajo Happy Song-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30656249/embed,"Hio hioippee ana, hio hioippee a na, hi o, hioippee ana hi o, hioippee ana, hi o, hio hio","smslsd'mrdmrdl,dmrdl,dmrd"
Pajarito Tan Bonito,"Knowles, F. (1990s). Vamos a Cantar: 230 Latino and Hispanic Folksongs to Sing, Read, and Play. Columbus, OH. Kodaly Institute at Capital University. p.21","Circle Game, Chase Game","Animals, Birds",Mexico,d m s,do,do tritonic,A,2/4,"ta,ti-ti",ti-ti,do,AB,AB,"Introduce do, Language: Spanish","K,1,2","Duck, duck, goose game",ssmmssmmssmmsssssmmssmmssdd,tt tt tt tt tt tt tt t tt tt tt tt t t tt z,,"Pajarito Tan Bonito-Traditional_Notation.pdf, Pajarito Tan Bonito-Stick_Notation.pdf, Pajarito Tan Bonito-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30656444/embed,"Pajarito tan bonito, pajarito adonde vas? Ala acerea verdadera Pin pon fuera.",smsmsmsmsmsd
Sansa Kroma,"Adzenyah, K., Maraire, D., & Cook Tucker, J. (1986/1996). Let Your Voice Be Heard! Songs from Ghana and Zimbabwe. Dandury, CT. World Music Press. p.43-45","Passing Game, Movement, Stick Game","Animals, Birds, Hawks",Ghana,drmfsltd',do,do diatonic ext',D,4/4,"ta,ti-ti,rest,to-o,tam-ti,tam,tum",tam-ti,fa,AB,AA,"Practice tam-ti, Movement","2,3,4,5","Students form a seated circle, each with a rock, cup, or small object.
On beat 1 of each measure, students pick up the rock and tap two quarter notes. On beat 3 of each measure, students pass the rock in front of the person to their right.
https://www.youtube.com/watch?v=-Hib6V1vrKs",ddmsd'tllllsssddmsfmrrrmddd,tum tum t to t t tmt t t t t t z tum tum t to t t tmt t t t t t z ,,"Sansa Kroma-Traditional_Notation.pdf, Sansa Kroma-Stick_Notation.pdf, Sansa Kroma-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30673658/embed,Sansa kroma Nee neh woo awcheche kokoma. Sansa kroma Nee neh woo awcheche kokoma.,dmsd'tlsdmsfmrmd
Who's That Tapping at the Window?,"Seegar, R. (1948). American Folk Songs for Children. New York, NY. Doubleday & Company, Inc.","Name Game, Movement","Names, Sounds, Family",USA,drm s,do,do tetratonic,D,2/4,"ta,ti-ti,rest,to-o",to-o,re,ABAB,ABAB,"Introduce to-o, Practice re","K,1,2","Students form a seated circle. Two students are selected to be “Tapper” and “Knocker”.
The students sing the song, replacing the names with the selected students. The Tapper and Knocker tap and knock the door, respectively. A new Tapper and Knocker are chosen.
",dsrrmmrddsrrmmddsrrmmrddsrrmmd,to to tt tt t t to to tt tt t z to to tt tt t t to to tt tt t z,,"Whos That Tapping at the Window-Traditional_Notation.pdf, Whos That Tapping at the Window-Stick_Notation.pdf, Whos That Tapping at the Window-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30673859/embed,"Who's that tapping at the win dow? Who's that knocking at the door? (Mama) tapping at the win dow, (Papa) knocking at the door.",dsrmrdsrmdsrmrdsrmd
San Tokki,"Collected by Lim, M. (2022) Performed by Lim, J.",Folksong,"Animals, Bunnies, Rabbits",Korea,drmfs d',do,do pentachordal ext',G,4/4,"ta,ti-ti,tim-ka",tim-ka,fa,AB,AB,"Practice fa, Practice tim-ka","1,2,3,4",No,smmsmdmrrdrmd'sd'sd'smsrfmrd,t tt tt t t tt tt t tmk tmk tt t t tt tt t,,"Santoki-Traditional_Notation.pdf, Santoki-Stick_Notation.pdf, Santoki-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30674303/embed,"Santoki, tokiya, Ohdireul gahneunyah? Kkangchoong, kkangchoong dimyunsuh, Ohdireul gahneunyah?",smsmdmrdrmd'sd'sd'smsrfmrd
"Amela, Suku Sela",Transcribed by Bartolome S. Learned 2023. Kodaly Levels class at SPU.,"Chant, Clapping Game",Boys and Girls,Sierra Leone,,,,,2/4,"ta,ti-ti",ti-ti,,,ABC,Practice ta ti-ti,"K,1,2",No,,t tt tt t tt tt tt t t t tt tt tt t tt t t tt tt tt t tt tt t tt z,,"Amela Suku Sela-Traditional_Notation.pdf, Amela Suku Sela-Stick_Notation.pdf",https://musescore.com/user/14822371/scores/30677660/embed,"Amela, (clap clap clap) Suku Sela (clap clap clap) big boy (clap clap clap) and little girl (clap clap clap) Amela, Suku Sela, big boy and little girl. Statue!",
Apple Tree,"Forrai, K. (1995). Music in Preschool. New York, NY. Boosey & Hawkes.",Circle Game,"Food, Fruit, Autumn, Seasons, Apples",Unknown,d msl,do,do tetratonic,A,2/4,"ta,ti-ti",ti-ti,do,AB,AA,"Introduce do, Practice ta ti-ti","K,1,2","Students form a standing circle.
While singing, they march around the circle. On the word ‘out', they crouch down suddenly.
",ssmssmssllssmssmssmssllssd,tt t tt t tt tt tt t tt t tt t tt tt tt t ,,"Apple Tree-Traditional_Notation.pdf, Apple Tree-Stick_Notation.pdf, Apple Tree-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30677840/embed,"Apple tree, apple tree, will your apple fall on me? I won't cry, I won't shout, If your apple knocks me out!",smsmslsmsmsmslsd
Bounce High,"Locke, E. (2004). Sail Away: 155 American Folk Songs to Sing, Read and Play. New York, NY. Boosey & Hawkes.","Circle Game, Ball Game","Balls, Names",USA,m sl,mi,mi tritonic,G,2/4,"ta,ti-ti",ti-ti,la,AB,AB,"Introduce la, Practice ta ti-ti","K,1","Students form a standing circle.
The teacher stands in the middle and bounces the ball at the beginning of each measure to a student. The student passes it back on beat. The teacher passes to a new student.",slsmssllsm,t t t t tt tt t t ,,"Bounce High-Traditional_Notation.pdf, Bounce High-Stick_Notation.pdf, Bounce High-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30701045/embed,"Bounce high, bounce low, Bounce the ball to Shiloh.",slsmslsm
Cherry Pie,"Brumfield, S. (2014). First, We Sing! Kodály-Inspired Teaching for the Music Classroom. Milwaukee, WI. Hal Leonard.","Children's Song, Student Prompt","Food, Fruit, Cherries, Pies",Unknown,m s,mi,Childhood Chant/mi bitonic,G,2/4,"ta,ti-ti",ti-ti,so/mi,AB,AB,High Low song,"K,1",Students choose a new flavor of pie to replace 'cherry'.,smssmssmmssm,t t tt t tt tt tt t ,,"Cherry Pie-Traditional_Notation.pdf, Cherry Pie-Stick_Notation.pdf, Cherry Pie-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30701294/embed,"My, my, me oh my, How I love that cherry pie!",smsmsmsm
Closet Key,"Seegar, R. (1948). American Folk Songs for Children. New York, NY. Doubleday & Company, Inc.","Location Game, Dynamics","Location, Finding, Garden",USA,drm,do,do trichordal,G,2/4,"ta,ti-ti,tim-ka",tim-ka,re,ABAC,ABAB,Introduce re,"K,1,2","The teacher chooses a hider and a finder.
The hider places the ‘key' (any small object) somewhere in the room. The finder walks around to search for the key while the other students sing loudly to signal they are close, and softly when they are far.
source: C. Roberts, Kodaly Level 1 materials",dmmddmddmmdmdmmddmddmmrd,t tmk tt t tt tt t t t tmk tt t tt tt t t,,"Closet Key-Traditional_Notation.pdf, Closet Key-Stick_Notation.pdf, Closet Key-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30701486/embed,I've lost the closet key in that lady's garden. I've lost the closet key in that lady's garden. Help me find the closet key I've found the closet key,dmdmdmdmdmdmdmrd
"Do, Do, Pity My Case","Seegar, R. (1948). American Folk Songs for Children. New York, NY. Doubleday & Company, Inc.",Student Prompt,"Chores, Garden",USA,drm sl,do,do pentatonic,F#,2/4,"ta,ti-ti,tika-ti",tika-ti,re,AB,AB,"Practice tika-ti, Practice re","1,2,3",Students choose a new chore and it replaces 'My clothes to wash'.,mmrrrdmssmssslssmmddrmsrmdd,t t tkt t tt tt t tt tt tt tt tt tt tt t t,,"Do Do Pity My Case-Traditional_Notation.pdf, Do Do Pity My Case-Stick_Notation.pdf, Do Do Pity My Case-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30701837/embed,"Do, do, pity my case in some lady's garden, My clothes to wash when I get home in some lady's garden.",mrdmsmslsmdrmsrmd
El Burrito del Teniente,"Knowles, F. (1990s). Vamos a Cantar: 230 Latino and Hispanic Folksongs to Sing, Read, and Play. Columbus, OH. Kodaly Institute at Capital University.",Circle Game,"Animals, Donkeys, Carrying",Unknown,m sl,mi,mi tritonic,G,2/4,ti-ti,ti-ti,la,AB,AA,"Practice ti-ti, Introduce la","K,1,2","Students form a seated circle. One student is chosen to be the donkey. Items are placed on their back, adding more until one falls off. The students sing while the donkey crawls around the inside of the circle.
source: C. Roberts, Kodaly Level 1 materials",ssmmssmmssllssmm,tt tt tt tt tt tt tt tt,,"El Burrito del Teniente-Traditional_Notation.pdf, El Burrito del Teniente-Stick_Notation.pdf, El Burrito del Teniente-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30702047/embed,"El burrito del teniente lleva carga y no la siente.  The lieutenant's donkey is carrying a load, but he doesn't feel it.",smsmslsm
Frog in the Meadow,"Schinhan, J. (1962). Frank C. Brown Collection of North Carolina Folklore, Vol.V. Durham, NC. Duke University Press","Circle Game, Chase Game","Animals, Frogs",USA,drm,do,do trichordal,F#,2/4,"ta,ti-ti,rest",rest,re,AA',AB,"Introduce re, Introduce rest, Practice rest","K,1,2","Students form a seated circle. A “Frog” is chosen to stand in the center.
During the song, the Frog rotates in place pointing outward towards the students. At the end, the Frog stops spinning and their finger stops and points at two students. The two students stand and the Frog stands between them. On ‘go', the students race outside the circle in opposite directions away from the Frog. The first student around the circle to make it back to the Frog is the winner and becomes the new Frog. Note: when the runners are going around the circle, they must pass each other. Encourage them to high-five each other to avoid a froggy collision. 
",mmmrdmmmdmmmmrdmmmd,t tt t t t tt t z tt tt t t t tt t z,,"Frog in the Meadow-Traditional_Notation.pdf, Frog in the Meadow-Stick_Notation.pdf, Frog in the Meadow-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30727967/embed,"Frog in the meadow, can't get him out. Take a little stick and stir him about.",mrdmdmrdmd
Grizzly Bear,Learned from Christopher Roberts. 2023. Kodaly Levels class at SPU.,"Circle Game, Freezing Game","Animals, Bears, Sleep",Unknown,"t,drmfs",do,"do hexachordal ext,",F,2/4,"ta,ti-ti,rest",rest,"ti,",AABA,AABA,"Introduce rest, Practice low ti, Practice ta ti-ti, Loud vs Soft","K,1,2,3","Students form a standing circle. The teacher chooses a student to be the “Grizzly Bear” to stand or ‘sleep' in the center.
After singing, all the students strike a pose and freeze. The Grizzly Bear points and calls out those students who they see 
","dddmrrrfmdrt,dmmmsffrrrfmmdddmrrrfmdrt,d",tt tt tt tt tt tt t z tt tt tt tt tt tt t z tt tt t t tt tt t t tt tt tt tt tt tt t z,,"Grizzly Bear-Traditional_Notation.pdf, Grizzly Bear-Stick_Notation.pdf, Grizzly Bear-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30728189/embed,"Grizzly bear, a grizzly bear is sleeping in a cave. Please be very quiet, very, very quiet. If you wake him, if you shake him, he'll be very mad!","dmrfmdrt,dmsfrfmdmrfmdrt,d"
Hey Betty Martin,"Sandburg, C. (1927). The American Songbag. New York, NY. Harcourt Brace and Company","Student Prompt, Movement",Movement,USA,"s,l,t,dr",do,"do pentachordal ext,",G,2/4,"ta,ti-ti,rest",ti-ti (rest at end),"ti,",AA',AB,"Introduce low ti, Practice ta ti-ti","K,1,2","Students form a standing circle. The teacher chooses a student to select a new movement. Students sing and move, replacing ‘tip-toe'.","drdl,s,l,s,l,s,drdl,s,l,t,d",t tt t t t t t t t tt t t t t t z,,"Hey Betty Martin-Traditional_Notation.pdf, Hey Betty Martin-Stick_Notation.pdf, Hey Betty Martin-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30728498/embed,"Hey Betty Martin, tiptoe, tiptoe, Hey Betty Martin tiptoe fine.","drdl,s,l,s,l,s,drdl,s,l,t,d"
Hey Hey Look at Me,Learned from Christopher Roberts. 2023. Kodaly Levels class at SPU.,"Student Prompt, Movement",Movement,Unknown,m s,mi,Childhood Chant/mi bitonic,G,2/4,"ta,ti-ti",ti-ti,so/mi,AB,AB,High Low song,"K,1","Students form a standing circle. The teacher chooses a student to select a new movement. Students sing and move, replacing ‘marching'.",smssmssmmssm,t t tt t tt tt tt t,,"Hey Hey Look at Me-Traditional_Notation.pdf, Hey Hey Look at Me-Stick_Notation.pdf, Hey Hey Look at Me-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30728690/embed,"Hey hey, look at me, I am marching, can't you see?",smsmsmsm
I Climbed Up the Cherry Tree,"Houlahan, M. & Tacka, P. (2015). Kodaly in the Kindergarten Classroom. Oxford, UK. Oxford University Press","Chant, Student Prompt","Food, Fruit",Unknown,,,,,2/4,"ta,ti-ti",ti-ti,,,AAAA,"Steady Beat, Beat vs Rhythm","K,1","Possible game: Students form a seated circle. One student is chosen to stand in the center.
The center student rotates and points to each student on the beat. On the last word ‘lie', the selected student tells a silly lie and a new pointer is chosen.
",,tt tt tt t tt tt tt t tt tt tt t tt tt tt t,,"I Climbed Up the Cherry Tree-Traditional_Notation.pdf, I Climbed Up the Cherry Tree-Stick_Notation.pdf",https://musescore.com/user/14822371/scores/30728873/embed,"I climbed up the cherry tree. All the cherries fell on me. Bake a pudding, bake a pie. Did you ever tell a lie?",
In and Out,"Houlahan, M. & Tacka, P. (2015). Kodaly in the Kindergarten Classroom. Oxford, UK. Oxford University Press",Circle Game,"Direction, Spelling",Unknown,m s,mi,Childhood Chant/mi bitonic,G,4/4,"ta,rest",rest,so/mi,AB,AB,"High Low song, Introduce rest, Practice ta","K,1","Students form a standing circle. One student is chosen to stand in the center.
The center student rotates and points to each student on the beat. On the last word ‘out', the selected student sits and a new pointer is chosen.
",smssmssmsmsms,t t t z t t t z t t t t t t t z,,"In and Out-Traditional_Notation.pdf, In and Out-Stick_Notation.pdf, In and Out-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30753635/embed,"In and out, Round about, OUT and that spells out.",smsmsmsmsms
Koriko,"Boshkoff, R., & Sorenson, K. (1995). The OAKE collection of multicultural songs, games, and dances. Los Angeles, CA. OAKE",Marching Song,Marching,Senegal,fsl,so,so trichordal,G,2/4,"ta,ti-ti,to-o",to-o,fa,ABB,ABB,"Language: Wolof, Introduce to-o, Practice fa","1,2,3",No,sslfssslfssllsllsfssllsllsfs,tt tt to tt tt to to tt t tt tt to to tt t tt tt to,,"Koriko-Traditional_Notation.pdf, Koriko-Stick_Notation.pdf, Koriko-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30753926/embed,Kori koriko kori koriko Ay yambala yambala mama Ay yambala yambala mama.,slfslfslslsfslslsfs
